RatingID,XPK_COUNTERPARTY,FAIR_AnnualTurnover,RDF_TotalTurnover,Turnover_Match_Status,FAIR_TotalAssets,RDF_TotalAssets,Assets_Match_Status,Overall_Match_Status,RDF_Source_System
2744488.0,2744488,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744489.0,2744489,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744490.0,2744490,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744491.0,2744491,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744492.0,2744492,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744493.0,2744493,2356758000,2.356758E9,MATCH,1242583000,1.242583E9,MATCH,FULL_MATCH,FAIR
2744555.0,2744555,7740000,7740000.0,MATCH,4116000,4116000.0,MATCH,FULL_MATCH,FAIR
2744622.0,2744622,2385356000,2.385356E9,MATCH,2307825000,2.307825E9,MATCH,FULL_MATCH,FAIR
2744808.0,2744808,774369000,7.74369E8,MATCH,436301000,4.36301E8,MATCH,FULL_MATCH,FAIR
2744891.0,2744891,1697000,1697000.0,MATCH,1530000,1530000.0,MATCH,FULL_MATCH,FAIR
2745087.0,2745087,2292000,2292000.0,MATCH,12320000,1.232E7,MATCH,FULL_MATCH,FAIR
2745162.0,2745162,128563000,1.28563E8,MATCH,87506000,8.7506E7,MATCH,FULL_MATCH,FAIR
