RatingID,ParentRatingID,LBRatingID,AnnualTurnover,AnnualTurnoverDirect,AnnualTurnoverParent,AnnualTurnoverLBR,TotalAssets,TotalAssetsDirect,TotalAssetsParent,TotalAssetsLBR
2874761,2874761,null,3015000,3015000,3015000,null,3411000,3411000,3411000,null
2943625,2943625,null,38163000,38163000,38163000,null,31254000,31254000,31254000,null
2939499,2939499,null,7024000,7024000,7024000,null,7979000,7979000,7979000,null
2946112,2946112,null,14813000,14813000,14813000,null,7210000,7210000,7210000,null
2796036,2796036,null,6340000,6340000,6340000,null,3906000,3906000,3906000,null
2823542,2823542,null,3171000,3171000,3171000,null,3289000,3289000,3289000,null
2926460,2926460,null,7654000,7654000,7654000,null,18996000,18996000,18996000,null
2947966,2947966,null,611000,611000,611000,null,7183000,7183000,7183000,null
2822088,2822088,null,null,null,null,null,13466160000,13466160000,13466160000,null
2861333,2861333,null,38260000,38260000,38260000,null,21518000,21518000,21518000,null
2951885,2951885,null,5096984828.116,5096984828.116,5096984828.116,null,8067025158.44056,8067025158.44056,8067025158.44056,null
2862628,2862628,null,1192000,1192000,1192000,null,893000,893000,893000,null
2938035,2938035,null,809000,809000,809000,null,39637000,39637000,39637000,null
2913023,2913023,null,null,null,null,null,438600000,438600000,438600000,null
2907414,2907414,null,11138000,11138000,11138000,null,5922000,5922000,5922000,null
2930962,2930962,null,347909543.518685,347909543.518685,347909543.518685,null,4490432487.55324,4490432487.55324,4490432487.55324,null
2899090,2899090,null,323504000,323504000,323504000,null,149641000,149641000,149641000,null
2908351,2908351,null,3588000,3588000,3588000,null,5813000,5813000,5813000,null
2946156,2946156,null,666000,666000,666000,null,1929000,1929000,1929000,null
2938972,2938972,null,824216000,824216000,824216000,null,489036000,489036000,489036000,null
2866589,2866589,null,315426000,315426000,315426000,null,91443000,91443000,91443000,null
