RATING_ID,PROCESS_ID,ITERATION_NUMBER,CALCULATION_ID,MODEL_COMPONENT_ID,CALCULATION_PERIOD_ID,MODEL_COMPONENT_ESSENTIAL_TYPE_CODE,MODEL_COMPONENT_ESSENTIAL_GROUP_ID,MODEL_COMPONENT_ESSENTIAL_CATEGORY_ID,MODEL_COMPONENT_ESSENTIAL_CATEGORY_VARIANT_ID,MODEL_COMPONENT_ESSENTIAL_CATEGORY_VARIANT_NAME,MODEL_COMPONENT_ESSENTIAL_VALUE,MODEL_COMPONENT_ESSENTIAL_VALUE_TYPE,MODEL_COMPONENT_ESSENTIAL_VALUE_CURRENCY
2627504,2057457,1,1086306,4670345,3285813,CorrectedTotalAssets,34,fin,cons,Consolidated,3120000,decimal,null
2592692,2024178,1,1068672,4579147,3228685,TotalOperatingIncome,28,fin,cons,Consolidated,7015000000,decimal,null
2567905,2000175,1,1056265,4514900,3201857,TotalOperatingIncome,28,fin,cons,Consolidated,5065761587.56497,decimal,null
1126932,610996,1,225392,743807,777206,TotalAssets,34,fin,cons,Consolidated,337000,decimal,null
1208696,688936,1,263075,897408,998308,CorrectedTotalAssets,34,fin,cons,Consolidated,1409000,decimal,null
2522353,1956390,1,1034265,4401329,3138036,TotalAssets,51,fin,cons,Consolidated,145487000,decimal,null
1048083,537647,1,168423,528340,540785,TotalAssets,34,fin,cons,Consolidated,2414000,decimal,null
1180483,662000,1,249280,842050,897037,TotalAssets,34,fin,cons,Consolidated,77117000,decimal,null
1181265,662745,1,249637,843478,986466,Turnover,34,fin,cons,Consolidated,120553000,decimal,null
1154984,637933,1,237390,793475,851366,Turnover,34,fin,cons,Consolidated,221000,decimal,null
2664183,2092971,1,1104769,4806303,3348461,TotalAssets,34,fin,cons,Consolidated,6474000,decimal,null
1158506,641313,1,238988,799936,3770418,TotalOperatingIncome,28,fin,cons,Consolidated,12200000,decimal,null
2594646,2026032,1,1069610,4584104,3231328,Turnover,34,fin,cons,Consolidated,80000000,decimal,null
2508356,1942905,1,1027694,4368499,3128627,TotalAssets,34,fin,cons,Consolidated,20339000,decimal,null
2527297,1960844,1,1036429,4411882,3150335,CorrectedTotalAssets,51,fin,cons,Consolidated,587221000,decimal,null
1166732,648804,1,242709,814747,863240,Turnover,34,fin,cons,Consolidated,189622000,decimal,null
2538151,1971397,1,1041623,4438948,3156752,CorrectedTotalAssets,34,fin,cons,Consolidated,100417000,decimal,null
1117709,602381,1,218950,717493,806812,TotalAssets,34,fin,cons,Consolidated,8590000,decimal,null
1166624,648697,1,242660,814480,902266,Turnover,34,fin,cons,Consolidated,10731000,decimal,null
2522714,1956723,1,1034453,4402169,3139137,Turnover,34,fin,cons,Consolidated,21922000,decimal,null
1074866,562893,1,188730,599747,693777,TotalAssets,34,fin,cons,Consolidated,263000,decimal,null
1060289,549326,1,177319,562794,535422,Revenues,6,fin,cons,Consolidated,596000000,decimal,null
2663574,2092398,1,1104490,4804936,3339361,TotalOperatingIncome,28,fin,cons,Consolidated,366175042.766656,decimal,null
2639592,2069188,1,1092335,4702397,3299063,TotalAssets,34,fin,cons,Consolidated,5600000,decimal,null
1170184,652042,1,244272,821362,867168,CorrectedTotalAssets,34,fin,cons,Consolidated,null,decimal,null
2633387,2063159,1,1089222,4685867,3324567,TotalAssets,34,fin,cons,Consolidated,3541000,decimal,null
1106426,591748,1,210979,685240,770326,TotalAssets,34,fin,cons,Consolidated,2558000,decimal,null
1146094,629287,1,233250,775892,861416,Turnover,34,fin,cons,Consolidated,7352000,decimal,null
2644870,2074283,1,1095027,4716354,3335114,Turnover,34,fin,cons,Consolidated,1840000,decimal,null
2567633,1999906,1,1056098,4514080,3217699,Turnover,34,fin,cons,Consolidated,12289000,decimal,null
2552467,1985230,1,1048638,4475409,3183981,TotalAssets,34,fin,cons,Consolidated,5145000,decimal,null
1115700,600555,1,217618,712232,863217,Turnover,34,fin,cons,Consolidated,1771000,decimal,null
2636856,2066556,1,1090947,4695340,3288189,Turnover,34,fin,cons,Consolidated,13599000,decimal,null
2634606,2064343,1,1089847,4689323,3288497,CorrectedTotalAssets,34,fin,cons,Consolidated,7633000,decimal,null
1056941,546054,1,174826,552858,691090,Turnover,34,fin,cons,Consolidated,23319000,decimal,null
1034609,524734,1,158856,491774,688031,Turnover,34,fin,cons,Consolidated,87000,decimal,null
2515256,1949593,1,1030968,4385330,3135254,Turnover,34,fin,cons,Consolidated,217369000,decimal,null
1046593,536267,1,167426,524617,689535,Turnover,34,fin,cons,Consolidated,32000,decimal,null
2557912,1990549,1,1051255,4489026,3188546,TotalAssets,34,fin,cons,Consolidated,114067000,decimal,null
2630323,2060226,1,1087692,4677539,3280140,TotalAssets,34,fin,cons,Consolidated,30381000,decimal,null
2671967,2100320,1,1108465,4824995,3355260,CorrectedTotalAssets,34,fin,cons,Consolidated,79120000,decimal,null
2662646,2091496,1,1104045,4802604,3332606,Turnover,34,fin,cons,Consolidated,5505000,decimal,null
1125477,609608,1,224386,739609,893620,CorrectedTotalAssets,34,fin,cons,Consolidated,22950000,decimal,null
1058984,548022,1,176308,559011,691457,TotalAssets,34,fin,cons,Consolidated,3413000,decimal,null
