DeliveryEntity,ReportingDate,ReportingEntity,CreditFacilityID,CreditFacilitySourceSystemIdentifier,CounterpartyID,CounterpartySourceSystemIdentifier,BaselProductType,PlNplIndicator,SpecialisedLendingType,SourcedExemptionId,PDModelCode,LastPerformingPDModelCode,InterCompanyFlag,LGDModelCode,BaselCreditRiskApproach,ExemptionConditionId,ExemptionId,ExemptionName,ExemptionType,DeliveryEntity,ReportingDate,ReportingEntity,CreditFacilityID,CreditFacilitySourceSystemIdentifier,CounterpartyID,CounterpartySourceSystemIdentifier,BaselProductType,PlNplIndicator,SpecialisedLendingType,SourcedExemptionId,PDModelCode,LastPerformingPDModelCode,InterCompanyFlag,LGDModelCode,BaselCreditRiskApproach,ExemptionConditionIdRC,ExemptionIdRC,ExemptionNameRC,ExemptionTypeRC
FBS,2025-05-31,524749,CF/9017593,AAB.SYS.1861,BCA158880412,AAB.SYS.1861,104,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,FBS,2025-05-31,524749,CF/9017593,AAB.SYS.1861,BCA158880412,AAB.SYS.1861,104,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
FBS,2025-05-31,524749,CF/9019759,AAB.SYS.1861,BCA204982774,AAB.SYS.1861,102,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,FBS,2025-05-31,524749,CF/9019759,AAB.SYS.1861,BCA204982774,AAB.SYS.1861,102,NPL,null,null,PBNDWW01,PBNDWW01,null,LNOMO401,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
BEAM,2025-05-31,525106,CF/ALM_V_AMS_AACAP/36964321,AAB.SYS.2119,BCA107387379,AAB.SYS.1861,83,NPL,null,null,PICOWW01,null,Y,LNOMO401,SA,100,ICO,Intercompany,P,BEAM,2025-05-31,525106,CF/ALM_V_AMS_AACAP/36964321,AAB.SYS.2119,BCA107387379,AAB.SYS.1861,83,NPL,null,null,PICOWW01,null,Y,LNOMO401,SA,100,ICO,Intercompany,T
BEAM,2025-05-31,525106,CF/ALM_V_AMS_AACAP/38629236,AAB.SYS.2119,BCA107387379,AAB.SYS.1861,83,NPL,null,null,PICOWW01,null,Y,LNOMO401,SA,100,ICO,Intercompany,P,BEAM,2025-05-31,525106,CF/ALM_V_AMS_AACAP/38629236,AAB.SYS.2119,BCA107387379,AAB.SYS.1861,83,NPL,null,null,PICOWW01,null,Y,LNOMO401,SA,100,ICO,Intercompany,T
BEAM,2025-05-31,425102,CF/ALM_V_AMS_CBFVO/30983356,AAB.SYS.12036,BCA158708792,AAB.SYS.1861,81,NPL,null,null,PIBKWW08,PIBKWW08,null,LBNBWW05,FIRB,1173,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,BEAM,2025-05-31,425102,CF/ALM_V_AMS_CBFVO/30983356,AAB.SYS.12036,BCA158708792,AAB.SYS.1861,81,NPL,null,null,PIBKWW08,PIBKWW08,null,LBNBWW05,FIRB,1173,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
BEAM,2025-05-31,425102,CF/ALM_V_AMS_CBMTN/14035698,AAB.SYS.2119,BCA107387379,AAB.SYS.1861,83,NPL,null,null,PICOWW01,null,Y,LNOMO401,SA,100,ICO,Intercompany,P,BEAM,2025-05-31,425102,CF/ALM_V_AMS_CBMTN/14035698,AAB.SYS.2119,BCA107387379,AAB.SYS.1861,83,NPL,null,null,PICOWW01,null,Y,LNOMO401,SA,100,ICO,Intercompany,T
BEAM,2025-05-31,425102,CF/ALM_V_AMS_CBMTN/16091672,AAB.SYS.2119,BCA107387379,AAB.SYS.1861,83,NPL,null,null,PICOWW01,null,Y,LNOMO401,SA,100,ICO,Intercompany,P,BEAM,2025-05-31,425102,CF/ALM_V_AMS_CBMTN/16091672,AAB.SYS.2119,BCA107387379,AAB.SYS.1861,83,NPL,null,null,PICOWW01,null,Y,LNOMO401,SA,100,ICO,Intercompany,T
BEAM,2025-05-31,425102,CF/ALM_V_AMS_CBMTN/17862521,AAB.SYS.12036,BCA194639274,AAB.SYS.1861,83,NPL,null,null,AA_NONE,null,null,LNOMO401,SA,101,CCP,Central Counterparties,P,BEAM,2025-05-31,425102,CF/ALM_V_AMS_CBMTN/17862521,AAB.SYS.12036,BCA194639274,AAB.SYS.1861,83,NPL,null,null,AA_NONE,null,null,LNOMO401,SA,101,CCP,Central Counterparties,T
BEAM,2025-05-31,425102,CF/ALM_V_AMS_CBMTN/18065648,AAB.SYS.12036,BCA194639274,AAB.SYS.1861,83,NPL,null,null,AA_NONE,null,null,LNOMO401,SA,101,CCP,Central Counterparties,P,BEAM,2025-05-31,425102,CF/ALM_V_AMS_CBMTN/18065648,AAB.SYS.12036,BCA194639274,AAB.SYS.1861,83,NPL,null,null,AA_NONE,null,null,LNOMO401,SA,101,CCP,Central Counterparties,T
BEAM,2025-05-31,425102,CF/ALM_V_AMS_CBMTN/19822432,AAB.SYS.12036,BCA194639274,AAB.SYS.1861,83,NPL,null,null,AA_NONE,null,null,LNOMO401,SA,101,CCP,Central Counterparties,P,BEAM,2025-05-31,425102,CF/ALM_V_AMS_CBMTN/19822432,AAB.SYS.12036,BCA194639274,AAB.SYS.1861,83,NPL,null,null,AA_NONE,null,null,LNOMO401,SA,101,CCP,Central Counterparties,T
BEAM,2025-05-31,425102,CF/ALM_V_AMS_CBMTN/19822433,AAB.SYS.12036,BCA194639274,AAB.SYS.1861,83,NPL,null,null,AA_NONE,null,null,LNOMO401,SA,101,CCP,Central Counterparties,P,BEAM,2025-05-31,425102,CF/ALM_V_AMS_CBMTN/19822433,AAB.SYS.12036,BCA194639274,AAB.SYS.1861,83,NPL,null,null,AA_NONE,null,null,LNOMO401,SA,101,CCP,Central Counterparties,T
BEAM,2025-05-31,425102,CF/ALM_V_AMS_CBMTN/25784689,AAB.SYS.12036,BCA195425758,AAB.SYS.1861,83,NPL,null,null,PLCRWW04,PLCRWW04,null,LBNBWW05,SA,101,CCP,Central Counterparties,P,BEAM,2025-05-31,425102,CF/ALM_V_AMS_CBMTN/25784689,AAB.SYS.12036,BCA195425758,AAB.SYS.1861,83,NPL,null,null,PLCRWW04,PLCRWW04,null,LBNBWW05,SA,101,CCP,Central Counterparties,T
BEAM,2025-05-31,425102,CF/ALM_V_AMS_CBMTN/32882843,AAB.SYS.12036,BCA63279118,AAB.SYS.1861,86,NPL,null,null,PBNDWW01,PBNDWW01,null,LBNBWW05,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,BEAM,2025-05-31,425102,CF/ALM_V_AMS_CBMTN/32882843,AAB.SYS.12036,BCA63279118,AAB.SYS.1861,86,NPL,null,null,PBNDWW01,PBNDWW01,null,LBNBWW05,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
BEAM,2025-05-31,425102,CF/ALM_V_AMS_CBMTN/33108505,AAB.SYS.12036,BCA159383803,AAB.SYS.1861,86,NPL,null,null,PBNDWW01,PBNDWW01,null,LBNBWW05,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,BEAM,2025-05-31,425102,CF/ALM_V_AMS_CBMTN/33108505,AAB.SYS.12036,BCA159383803,AAB.SYS.1861,86,NPL,null,null,PBNDWW01,PBNDWW01,null,LBNBWW05,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
BEAM,2025-05-31,425102,CF/ALM_V_AMS_CBMTN/33108510,AAB.SYS.12036,BCA159383803,AAB.SYS.1861,86,NPL,null,null,PBNDWW01,PBNDWW01,null,LBNBWW05,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,P,BEAM,2025-05-31,425102,CF/ALM_V_AMS_CBMTN/33108510,AAB.SYS.12036,BCA159383803,AAB.SYS.1861,86,NPL,null,null,PBNDWW01,PBNDWW01,null,LBNBWW05,FIRB,1158,Article_151_8_ECFOU,Article_151_8_EC Foundation,T
